,duration,rating,production_cost,worldwide_gross,opening_weekend,oscar,golden globe,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_TV-MA
206,94.0,7.1,138610793.4214981,515999296.8670481,40872404.254854344,1,1,0,1,0,0,0
207,127.0,6.6,194809152.69287315,397132372.7039,47377758.48015628,1,1,0,0,0,1,0
208,110.0,5.7,144044798.86750433,386596387.70042336,41671968.93856479,0,0,0,0,1,0,0
209,154.0,7.8,177387288.41596478,578802780.1356266,30753069.087457005,0,1,0,0,0,1,0
210,150.0,6.0,141400758.28942227,270999111.4161218,24357223.96041186,1,1,0,0,1,0,0
211,115.0,6.3,138610793.4214981,197665605.13405666,18589044.001902312,1,0,0,1,0,0,0
212,127.0,5.4,138610793.4214981,137459092.1801924,13983752.864559123,0,0,0,0,1,0,0
213,121.0,7.4,179596144.135285,1061692781.0171405,148385326.69226897,0,1,0,0,1,0,0
214,161.0,7.6,152039028.17791498,205997734.3648614,60831403.49891891,0,0,0,0,0,1,0
215,121.0,5.1,165104723.7763407,91425838.6972231,15854294.759672092,1,1,0,0,1,0,0
216,112.0,6.6,152459132.66809288,294466619.6542428,61442749.09546423,1,1,0,0,1,0,0
217,138.0,5.6,173586132.23562267,310467893.67015076,78719942.55262996,1,1,0,0,1,0,0
218,106.0,6.4,179770814.9512891,111709623.77660292,14970648.185908463,0,1,0,0,1,0,0
219,98.0,7.2,138900341.76509345,589625185.831732,44900549.962507054,1,1,0,1,0,0,0
220,156.0,8.0,135000000.0,532938301.99999994,474560.00000000006,1,1,0,0,0,1,0
221,107.0,7.2,143976174.86865512,262062873.91948393,40611224.20094816,0,1,0,1,0,0,0
222,139.0,7.5,171052028.1153946,269770761.80913144,31810596.35070234,1,1,0,0,1,0,0
223,96.0,6.4,138900341.76509345,295185427.66989475,21928377.010453887,0,1,0,1,0,0,0
224,112.0,5.9,133660407.94215886,242894004.06390014,34965940.92711938,0,1,0,0,1,0,0
225,99.0,5.8,143976174.86865512,168459020.5218576,22649124.563448295,1,1,0,1,0,0,0
226,132.0,6.0,156680969.39457244,191406202.81708562,29855053.857234392,1,1,0,0,0,1,0
227,99.0,5.6,126096869.00952405,161320781.6819866,19310650.049996365,1,1,0,1,0,0,0
228,116.0,6.5,157926257.52519545,726025931.0765703,77621622.9716389,1,1,0,0,1,0,0
229,92.0,6.6,133320714.95859814,370613943.80028456,25702056.272340067,0,0,0,1,0,0,0
230,146.0,7.5,133755884.6626826,889855313.4074734,162641276.6642454,1,1,0,0,1,0,0
231,141.0,7.9,160410690.3396637,974300856.7495731,115603501.66596484,0,0,0,1,0,0,0
232,113.0,8.0,146907749.56580833,501795507.8147619,78294699.84242381,0,1,0,0,1,0,0
233,118.0,7.0,123345319.57289787,591245978.675729,71931389.64039266,0,0,0,0,1,0,0
234,91.0,7.6,144143179.97710598,700658410.7643201,66792767.36349449,1,1,0,1,0,0,0
235,117.0,7.3,130000000.0,518858449.0,57225526.0,1,1,0,0,1,0,0
236,94.0,6.5,130000000.0,385997896.0,52107731.0,0,1,0,1,0,0,0
237,130.0,6.7,123345319.57289787,331040840.702722,22318975.977668803,0,1,0,1,0,0,0
238,90.0,6.6,138643723.9475938,591888696.5812274,36343254.196592055,1,1,0,1,0,0,0
239,140.0,6.6,164716767.81482443,346249827.76454526,58946505.489778765,1,0,0,0,0,1,0
240,101.0,6.3,131300704.12589212,497777423.33949476,39721360.70362188,1,1,1,0,0,0,0
241,100.0,6.4,141524343.7572844,316416310.96985024,39203596.41122386,1,1,0,0,1,0,0
242,137.0,5.8,131300704.12589212,356361286.70760316,44157913.525510386,1,1,0,0,1,0,0
243,104.0,7.3,138643723.9475938,398860877.6962609,10367343.61529609,0,0,0,1,0,0,0
244,165.0,6.6,144143179.97710598,238480245.42655182,16410948.301386863,1,1,0,0,1,0,0
245,98.0,5.6,133755884.6626826,81361315.55443145,13058088.007278766,1,1,0,0,1,0,0
246,104.0,7.4,120239496.38441932,485818395.00899464,51285635.88170647,1,1,0,1,0,0,0
247,82.0,6.4,171074256.4595566,477864824.0567555,52133841.134681255,0,1,0,1,0,0,0
248,135.0,8.1,123395752.94865179,596771315.9230709,85902794.83821225,0,1,0,0,0,1,0
249,97.0,6.2,128270687.87683307,357296103.28074116,17271617.82245308,1,1,0,1,0,0,0
250,123.0,6.6,126250677.04412705,774245034.3515229,123117270.58061759,1,1,0,0,1,0,0
251,123.0,6.7,116511139.90738305,744117409.6365348,55227718.52961059,0,0,0,0,1,0,0
252,152.0,6.6,145074971.66164115,891132250.6452265,89451356.63973337,1,1,0,0,1,0,0
253,130.0,7.3,133311273.02653252,672063138.1402941,91930136.76371932,0,0,0,0,1,0,0
255,129.0,7.4,133311273.02653252,571279804.0008435,42272555.6843459,0,1,0,0,1,0,0
256,123.0,6.5,154241048.40352282,685866899.1265342,84824659.73740509,0,0,0,0,1,0,0
257,97.0,6.3,121452512.74473602,512982316.5666118,48774262.279414035,0,1,0,1,0,0,0
259,93.0,6.4,123759636.98348044,339836649.45713013,46118921.79356763,0,0,0,1,0,0,0
260,124.0,7.0,130863349.06615895,421325822.2701202,53444697.49620536,1,1,0,0,0,1,0
261,135.0,6.6,130863349.06615895,293506516.973793,39931982.57875531,1,1,0,0,1,0,0
262,103.0,5.8,118601268.82009408,289262764.78771025,23630131.031867806,0,0,0,0,1,0,0
263,100.0,6.7,115010355.86827262,98780955.64568673,22810347.990339268,0,0,0,1,0,0,0
265,104.0,5.7,123759636.98348044,61031122.42500811,10842042.204105472,0,0,0,1,0,0,0
266,103.0,6.6,171519632.6324998,84660579.92247769,14088973.896641169,0,0,0,0,0,1,0
267,105.0,6.3,165036341.5256899,463504435.0242893,74897423.13785946,0,1,0,1,0,0,0
268,129.0,6.5,161011064.9031121,441051483.6180754,55448241.829881944,1,1,0,0,1,0,0
269,123.0,6.6,118809251.50414121,412038717.697491,58627776.60995434,1,1,0,0,1,0,0
270,116.0,6.3,98745350.62659562,330590234.1226754,36214984.88838184,0,0,0,0,1,0,0
271,91.0,5.6,135607153.4453615,327130437.3658857,65601863.49958031,0,1,0,1,0,0,0
272,125.0,7.9,125628815.10351259,648360230.9430027,23504642.509166036,0,0,0,1,0,0,0
273,110.0,5.3,135607153.4453615,259400199.2519074,51292090.40131957,1,1,0,0,1,0,0
274,107.0,6.2,132207850.5894913,471483181.0443717,39390329.81213489,0,0,0,0,0,1,0
275,106.0,4.9,152046247.21368408,287827693.0368967,47684517.248836845,0,1,0,0,1,0,0
276,109.0,6.6,123466970.45786086,294460587.0397535,30668570.924640402,1,1,0,0,0,1,0
277,125.0,7.0,123466970.45786086,296234953.5078147,38125041.7068854,1,1,0,0,1,0,0
278,124.0,5.9,116594412.23494658,138486521.08645603,39156569.935492255,0,0,0,0,1,0,0
279,77.0,5.5,155047030.9081597,214481726.08962092,19529661.99437943,1,1,0,1,0,0,0
281,119.0,6.6,148071406.4673819,132292856.93172671,29971090.195569217,1,1,0,0,0,1,0
282,135.0,6.1,133055243.05579016,103555190.34562297,20580693.383128587,0,0,0,1,0,0,0
283,136.0,7.8,139271972.7951755,189199713.47029236,14401963.828778569,0,0,0,0,1,0,0
284,109.0,6.3,127371909.38155597,281689367.96575606,21925370.46466578,0,1,0,0,1,0,0
285,112.0,6.6,110061977.46504731,812258392.7891377,76147475.93372704,0,1,0,0,1,0,0
286,92.0,8.1,150902508.90071714,735464342.5661263,82113360.08650671,1,1,1,0,0,0,0
287,126.0,6.7,118322513.35544999,428488882.02381444,54648283.742417894,0,1,0,0,1,0,0
288,134.0,6.1,148586737.95365304,100300266.69001509,18761223.068026777,1,1,0,0,0,1,0
289,87.0,4.9,121928665.39089118,252585951.37059513,6866860.22614407,0,1,0,1,0,0,0
290,107.0,6.7,107849831.31732559,280322982.30100125,13021250.355717406,0,0,0,1,0,0,0
291,119.0,7.6,104369116.5616828,746108598.6750103,119082460.73438144,0,0,0,0,0,1,0
292,91.0,7.7,113178056.25303912,708097779.463122,57396823.12743715,1,1,0,0,1,0,0
